danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.585,0.849,7,-5.796,1,0.0386,0.055200000000000006,0.000539,0.146,0.685,131.748,audio_features,1hNIb1XdqTfcanT6yr9l4k,spotify:track:1hNIb1XdqTfcanT6yr9l4k,https://api.spotify.com/v1/tracks/1hNIb1XdqTfcanT6yr9l4k,https://api.spotify.com/v1/audio-analysis/1hNIb1XdqTfcanT6yr9l4k,239147,4
0.391,0.329,4,-13.756,0,0.0354,0.449,4.1199999999999995e-06,0.0608,0.342,90.001,audio_features,3HiuoQAEagnHrXfIjt0tIU,spotify:track:3HiuoQAEagnHrXfIjt0tIU,https://api.spotify.com/v1/tracks/3HiuoQAEagnHrXfIjt0tIU,https://api.spotify.com/v1/audio-analysis/3HiuoQAEagnHrXfIjt0tIU,272609,4
0.592,0.66,7,-8.028,0,0.158,0.233,6.9400000000000005e-06,0.0918,0.495,170.143,audio_features,0cYX51Hneb8qIOx0tHm7ng,spotify:track:0cYX51Hneb8qIOx0tHm7ng,https://api.spotify.com/v1/tracks/0cYX51Hneb8qIOx0tHm7ng,https://api.spotify.com/v1/audio-analysis/0cYX51Hneb8qIOx0tHm7ng,259600,4
0.811,0.797,5,-5.428,1,0.165,0.061700000000000005,0.0,0.112,0.541,97.988,audio_features,7sHlzMxsjsEuYx7eFD1Un0,spotify:track:7sHlzMxsjsEuYx7eFD1Un0,https://api.spotify.com/v1/tracks/7sHlzMxsjsEuYx7eFD1Un0,https://api.spotify.com/v1/audio-analysis/7sHlzMxsjsEuYx7eFD1Un0,171133,4
0.778,0.8240000000000001,10,-5.892,0,0.0707,0.28400000000000003,0.0,0.405,0.758,100.024,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4
0.766,0.873,11,-6.381,0,0.14300000000000002,0.00627,0.0,0.07640000000000001,0.743,126.988,audio_features,2Cd9iWfcOpGDHLz6tVA3G4,spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,https://api.spotify.com/v1/tracks/2Cd9iWfcOpGDHLz6tVA3G4,https://api.spotify.com/v1/audio-analysis/2Cd9iWfcOpGDHLz6tVA3G4,202627,4
0.794,0.8320000000000001,1,-4.862,0,0.0407,0.23700000000000002,1.1400000000000003e-05,0.203,0.871,107.657,audio_features,2lnzGkdtDj5mtlcOW2yRtG,spotify:track:2lnzGkdtDj5mtlcOW2yRtG,https://api.spotify.com/v1/tracks/2lnzGkdtDj5mtlcOW2yRtG,https://api.spotify.com/v1/audio-analysis/2lnzGkdtDj5mtlcOW2yRtG,196160,4
0.664,0.758,2,-6.583,0,0.21,0.00238,0.0,0.059800000000000006,0.7010000000000001,99.259,audio_features,0TwBtDAWpkpM3srywFVOV5,spotify:track:0TwBtDAWpkpM3srywFVOV5,https://api.spotify.com/v1/tracks/0TwBtDAWpkpM3srywFVOV5,https://api.spotify.com/v1/audio-analysis/0TwBtDAWpkpM3srywFVOV5,235933,4
0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,audio_features,5R9a4t5t5O0IsznsrKPVro,spotify:track:5R9a4t5t5O0IsznsrKPVro,https://api.spotify.com/v1/tracks/5R9a4t5t5O0IsznsrKPVro,https://api.spotify.com/v1/audio-analysis/5R9a4t5t5O0IsznsrKPVro,193213,4
0.399,0.787,1,-2.88,1,0.0499,0.019700000000000002,6.0700000000000005e-05,0.0685,0.5720000000000001,117.089,audio_features,4VrWlk8IQxevMvERoX08iC,spotify:track:4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/tracks/4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/audio-analysis/4VrWlk8IQxevMvERoX08iC,216120,5
0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,audio_features,2Foc5Q5nqNiosCNqttzHof,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,248413,4
0.8320000000000001,0.659,10,-7.828,0,0.057,0.0839,0.0011400000000000002,0.0753,0.674,100.163,audio_features,5CMjjywI0eZMixPeqNd75R,spotify:track:5CMjjywI0eZMixPeqNd75R,https://api.spotify.com/v1/tracks/5CMjjywI0eZMixPeqNd75R,https://api.spotify.com/v1/audio-analysis/5CMjjywI0eZMixPeqNd75R,353893,4
